Customer ID;Number of Transaction;Number of Line;Line Category;TerritoryKey;Quantity;Total Spend;AOV;Churn
11428;1;2;Low;8;2;1755;1755;0
11429;1;4;Med 1;7;7;2431.7;2431.7;0
11431;1;4;Med 1;8;5;1748.6;1748.6;0
11432;1;3;Low;7;3;2465.8;2465.8;0
11433;2;3;Low;7;3;3652.9;1826.5;1
11434;1;1;Low;10;2;21.5;21.5;1
11458;1;1;Low;9;2;8;8;1
11461;1;2;Low;9;2;2417.7;2417.7;1
11462;1;2;Low;9;2;2419.1;2419.1;1
11464;1;2;Low;9;2;2419.1;2419.1;1
11465;1;2;Low;9;2;2438.1;2438.1;1
11466;1;1;Low;9;2;8;8;1
11467;1;1;Low;9;2;25;25;0
11468;1;2;Low;10;2;1262.9;1262.9;1
11469;1;2;Low;10;5;25.5;25.5;1
11474;1;3;Low;10;6;49;49;1
11477;1;1;Low;8;1;35;35;1
11480;1;3;Low;7;5;554;554;1
11482;1;2;Low;10;3;2413.1;2413.1;1
11483;1;1;Low;7;1;540;540;1
11485;1;2;Low;10;2;1248.5;1248.5;1
11488;1;2;Low;10;3;2392.7;2392.7;1
11489;1;2;Low;10;3;2392.7;2392.7;1
11491;1;4;Med 1;10;6;2451.7;2451.7;1
11493;1;3;Low;10;5;1228.8;1228.8;1
11500;5;7;Med 2;6;10;241.5;48.3;0
11501;4;8;Med 2;6;12;203.9;51;0
11502;4;11;High;6;19;284.7;71.2;0
11505;4;9;Med 2;6;16;208.3;52.1;0
11506;6;10;High;6;17;277.5;46.3;0
11507;5;6;Med 1;6;9;142.3;28.5;0
11509;1;3;Low;4;4;196.3;196.3;1
11517;1;1;Low;4;2;2.3;2.3;1
11520;3;5;Med 1;6;9;126.4;42.1;0
11524;1;2;Low;4;3;40;40;0
11530;3;6;Med 1;6;11;120.8;40.3;0
11544;1;2;Low;8;2;89;89;1
11545;1;1;Low;7;1;54;54;1
11547;1;2;Low;7;2;573.6;573.6;1
11553;1;1;Low;10;2;21.5;21.5;1
11557;1;1;Low;10;2;21.5;21.5;1
11563;1;1;Low;10;1;54;54;1
11565;1;1;Low;10;1;33.6;33.6;1
11566;5;12;High;7;20;244.9;49;0
11568;1;3;Low;10;5;2398.1;2398.1;1
11573;1;1;Low;10;1;35;35;1
11575;1;5;Med 1;10;8;2460.3;2460.3;1
11579;1;2;Low;10;3;43.6;43.6;1
11581;1;3;Low;7;6;67.6;67.6;0
11584;1;1;Low;8;2;8.6;8.6;1
11594;1;2;Low;7;2;87.6;87.6;1
11602;1;1;Low;8;1;33.6;33.6;1
11619;6;11;High;6;18;157.7;26.3;0
11620;1;1;Low;1;2;2.3;2.3;1
11621;1;1;Low;1;1;2.3;2.3;0
11627;1;2;Low;4;3;10.2;10.2;0
11631;4;6;Med 1;6;13;45;11.3;0
11635;1;1;Low;4;2;2.3;2.3;1
11636;1;3;Low;4;5;73.6;73.6;1
11641;1;2;Low;6;3;37.3;37.3;1
11642;2;8;Med 2;6;12;213.9;106.9;0
11643;1;2;Low;1;4;10.2;10.2;1
11646;2;3;Low;1;3;112.5;56.3;1
11648;2;2;Low;4;2;89;44.5;1
11652;2;7;Med 2;6;11;150;75;0
11656;1;3;Low;4;4;73.6;73.6;1
11658;1;3;Low;4;6;49;49;1
11659;1;2;Low;6;3;79;79;0
11660;1;2;Low;6;2;124;124;1
11661;1;3;Low;6;5;32.3;32.3;0
11662;1;2;Low;1;3;62.6;62.6;1
11667;1;1;Low;1;1;54;54;0
11669;2;6;Med 1;1;11;112.9;56.4;1
11670;1;2;Low;4;3;37.3;37.3;1
11672;2;3;Low;4;4;112.5;56.3;1
11674;1;3;Low;4;4;42.3;42.3;1
11676;1;1;Low;3;1;54;54;0
11677;3;8;Med 2;6;12;238.9;79.6;0
11680;1;2;Low;1;3;40;40;1
11682;1;3;Low;1;3;199;199;0
11684;1;1;Low;1;1;54;54;0
11689;2;2;Low;1;2;89;44.5;1
11692;1;2;Low;4;2;40;40;1
11694;1;1;Low;4;1;54;54;1
11695;1;1;Low;4;1;54;54;1
11697;1;3;Low;4;5;88.1;88.1;0
11699;1;3;Low;1;6;59.3;59.3;1
11709;2;7;Med 2;6;12;162.2;81.1;0
11711;7;19;High;6;35;341.8;48.8;0
11713;1;4;Med 1;1;5;129;129;0
11719;2;3;Low;6;5;62.3;31.1;1
11720;1;1;Low;4;1;54;54;1
11722;1;2;Low;1;3;77.5;77.5;0
11723;1;1;Low;6;1;32.6;32.6;1
11724;2;4;Med 1;6;9;47.3;23.6;0
11729;1;4;Med 1;1;4;121.7;121.7;1
11731;1;1;Low;4;1;33.6;33.6;1
11732;1;2;Low;2;2;97.1;97.1;1
11734;1;2;Low;4;3;37.3;37.3;1
11737;1;3;Low;4;4;42.3;42.3;1
11740;1;3;Low;6;5;61.7;61.7;1
11744;1;1;Low;4;1;33.6;33.6;1
11747;1;1;Low;1;1;54;54;0
11748;2;2;Low;6;3;40;20;0
11751;1;1;Low;9;1;2384.1;2384.1;1
11752;1;1;Low;9;2;8;8;0
11753;1;1;Low;9;2;10;10;0
11754;1;3;Low;9;5;2441.3;2441.3;1
11755;2;3;Low;9;6;15.9;8;1
11757;1;2;Low;9;4;6.3;6.3;0
11758;1;2;Low;9;5;6.3;6.3;0
11759;1;1;Low;9;1;2384.1;2384.1;1
11761;1;2;Low;9;3;2392.7;2392.7;1
11762;1;2;Low;9;2;2438.1;2438.1;1
11764;1;1;Low;9;1;2384.1;2384.1;1
11765;1;3;Low;9;3;2473.1;2473.1;1
11766;1;5;Med 1;9;10;2460.7;2460.7;1
11767;1;3;Low;9;4;2442.6;2442.6;1
11768;1;2;Low;9;2;2417.7;2417.7;1
11769;3;11;High;6;18;272.2;90.7;1
11770;1;3;Low;1;5;42.3;42.3;0
11771;1;2;Low;1;3;57.2;57.2;1
11782;2;6;Med 1;4;6;147.5;73.8;1
11785;1;2;Low;1;3;40;40;1
11788;1;1;Low;4;1;54;54;1
11792;1;2;Low;4;2;81.7;81.7;1
11795;1;2;Low;4;3;40;40;0
11800;2;4;Med 1;1;6;77.3;38.6;1
11803;1;4;Med 1;1;4;154.1;154.1;0
11804;1;3;Low;1;3;73.6;73.6;1
11807;1;1;Low;4;1;54;54;1
11808;1;2;Low;6;3;58.6;58.6;0
11814;1;3;Low;1;4;42.3;42.3;1
11820;1;1;Low;6;1;70;70;0
11821;2;7;Med 2;4;13;148.6;74.3;1
11822;1;1;Low;4;1;48.1;48.1;1
11823;1;4;Med 1;6;6;77.9;77.9;0
11824;2;5;Med 1;6;7;100.1;50.1;0
11827;2;6;Med 1;6;9;228.7;114.4;0
11832;1;1;Low;1;1;48.1;48.1;1
11833;2;5;Med 1;6;7;143.2;71.6;0
11838;1;2;Low;1;2;81.7;81.7;1
11841;1;2;Low;6;4;23.8;23.8;0
11846;1;1;Low;4;1;48.1;48.1;1
11848;1;1;Low;1;1;48.1;48.1;0
11852;2;4;Med 1;4;5;121.7;60.9;1
11855;1;1;Low;4;1;48.1;48.1;1
11858;1;1;Low;4;1;35;35;1
11860;1;1;Low;4;1;35;35;0
11863;2;3;Low;1;5;47.9;24;1
11869;2;5;Med 1;6;8;106.3;53.1;0
11870;1;1;Low;1;1;33.6;33.6;1
11874;1;4;Med 1;4;7;64.3;64.3;1
11875;1;3;Low;6;4;75;75;0
11876;1;3;Low;4;5;73.6;73.6;1
11882;1;1;Low;1;2;8;8;1
11890;1;2;Low;4;3;58.5;58.5;1
11891;1;1;Low;4;1;35;35;1
11892;1;1;Low;9;1;2384.1;2384.1;1
11893;1;3;Low;9;4;2428.1;2428.1;1
11894;1;4;Med 1;9;5;2453;2453;1
11895;1;2;Low;9;2;2417.7;2417.7;1
11896;1;3;Low;9;5;2401;2401;1
11898;1;1;Low;9;1;2384.1;2384.1;1
11899;1;2;Low;9;2;2419.1;2419.1;1
11900;1;4;Med 1;9;5;2480.3;2480.3;1
11902;1;3;Low;9;6;32.3;32.3;1
11903;1;2;Low;9;2;2438.1;2438.1;1
11904;1;2;Low;9;2;2417.7;2417.7;1
11905;1;2;Low;9;3;2413.1;2413.1;1
11906;1;1;Low;9;1;2384.1;2384.1;1
11907;1;2;Low;9;2;2438.1;2438.1;1
11908;1;1;Low;9;1;2384.1;2384.1;1
11909;1;4;Med 1;9;6;2431.7;2431.7;1
11910;1;3;Low;9;5;2418.1;2418.1;1
11911;1;1;Low;9;2;23.5;23.5;0
11914;1;5;Med 1;9;7;2461;2461;1
11915;1;3;Low;9;5;2398.1;2398.1;1
11916;1;3;Low;9;5;2398.1;2398.1;1
11917;1;1;Low;9;1;2384.1;2384.1;1
11921;1;2;Low;9;5;27.3;27.3;0
11922;1;4;Med 1;6;6;127.6;127.6;0
11932;1;3;Low;4;4;91.7;91.7;1
11937;1;3;Low;1;5;2064.1;2064.1;1
11940;1;1;Low;4;1;33.6;33.6;0
11941;1;2;Low;1;3;40;40;0
11945;1;3;Low;4;4;2086.4;2086.4;1
11948;1;1;Low;9;1;48.1;48.1;0
11949;2;2;Low;4;2;68.6;34.3;1
11951;2;7;Med 2;9;15;54.5;27.3;0
11952;1;3;Low;9;5;2398.1;2398.1;1
11953;1;3;Low;1;6;42.3;42.3;1
11960;1;1;Low;1;1;35;35;1
11962;2;4;Med 1;4;5;103;51.5;1
11964;1;3;Low;9;4;2442.6;2442.6;1
11967;1;2;Low;9;2;2417.7;2417.7;1
11968;1;1;Low;9;1;2384.1;2384.1;1
11969;1;4;Med 1;9;6;2453;2453;1
11970;1;3;Low;1;4;73.6;73.6;1
11975;1;3;Low;4;4;160;160;0
11976;1;2;Low;9;3;2392.7;2392.7;1
11977;1;4;Med 1;9;7;2461.6;2461.6;1
11980;1;1;Low;4;2;9;9;0
11982;1;3;Low;4;5;68;68;0
11986;1;4;Med 1;9;6;2453;2453;1
11987;1;1;Low;9;2;23.5;23.5;0
11988;1;2;Low;9;3;2392.7;2392.7;1
11989;1;1;Low;9;1;2384.1;2384.1;1
11990;1;2;Low;9;2;2417.7;2417.7;1
11991;1;1;Low;9;1;2071.4;2071.4;0
11992;1;2;Low;9;3;2081.4;2081.4;0
11993;1;4;Med 1;9;6;2091.4;2091.4;0
11994;1;2;Low;9;2;2417.7;2417.7;1
11995;1;3;Low;9;4;2156.9;2156.9;0
11996;1;5;Med 1;9;7;2142;2142;1
11997;1;4;Med 1;9;6;2133.7;2133.7;1
11998;1;4;Med 1;9;6;2091.4;2091.4;1
11999;1;3;Low;9;5;2086.4;2086.4;1
12000;1;4;Med 1;9;6;2473;2473;1
12001;1;2;Low;9;2;2417.7;2417.7;1
12002;1;2;Low;9;3;2413.1;2413.1;1
12003;1;4;Med 1;9;6;2480.3;2480.3;1
12004;1;2;Low;9;2;2417.7;2417.7;1
12005;1;4;Med 1;9;5;2122.7;2122.7;1
12006;1;1;Low;9;3;23.5;23.5;1
12007;1;3;Low;9;4;2092.7;2092.7;1
12009;1;2;Low;9;2;2417.7;2417.7;1
12010;1;3;Low;9;4;2441.3;2441.3;1
12012;2;3;Low;9;4;65;32.5;1
12018;1;5;Med 1;4;6;2186.2;2186.2;1
12019;1;3;Low;4;4;73.6;73.6;1
12022;2;6;Med 1;1;9;134.3;67.2;1
12024;1;3;Low;1;4;73.6;73.6;1
12027;1;3;Low;1;5;2086.4;2086.4;1
12028;1;2;Low;4;3;40;40;1
12029;1;4;Med 1;4;7;55;55;1
12030;1;3;Low;1;5;2141.5;2141.5;1
12033;1;3;Low;1;3;2125.1;2125.1;1
12034;2;5;Med 1;9;10;70.9;35.5;1
12037;1;5;Med 1;9;7;2233.7;2233.7;1
12038;1;3;Low;9;7;62.2;62.2;1
12039;1;3;Low;9;4;2441.3;2441.3;1
12041;1;5;Med 1;1;6;2170.8;2170.8;1
12042;1;3;Low;1;4;2148.4;2148.4;1
12043;1;3;Low;4;4;95;95;0
12048;1;2;Low;1;3;56.7;56.7;0
12049;1;4;Med 1;4;5;95.6;95.6;0
12054;2;4;Med 1;6;5;192.6;96.3;0
12056;1;3;Low;6;3;68.6;68.6;0
12057;1;2;Low;1;2;37.3;37.3;1
12063;1;1;Low;1;1;48.1;48.1;0
12066;1;1;Low;4;1;48.1;48.1;1
12067;1;3;Low;4;5;75;75;1
12068;1;2;Low;4;3;56.7;56.7;0
12074;1;4;Med 1;6;8;77.6;77.6;0
12075;1;2;Low;1;2;2106.4;2106.4;1
12077;1;4;Med 1;6;6;50.2;50.2;1
12078;1;3;Low;1;4;2148.4;2148.4;1
12079;1;7;Med 2;4;11;2183.7;2183.7;1
12084;1;5;Med 1;1;7;2156.4;2156.4;1
12085;1;4;Med 1;1;6;98.5;98.5;1
12091;1;3;Low;1;5;73.6;73.6;1
12094;1;5;Med 1;4;8;2135.7;2135.7;1
12095;1;1;Low;4;2;8.6;8.6;1
12096;1;2;Low;4;3;2073.7;2073.7;1
12097;1;3;Low;6;6;32.3;32.3;1
12100;2;4;Med 1;4;5;129.1;64.6;1
12106;1;1;Low;6;1;70;70;0
12107;1;2;Low;6;4;35;35;1
12108;1;4;Med 1;1;6;2119.4;2119.4;1
12109;1;3;Low;1;4;2104.7;2104.7;1
12110;1;3;Low;4;5;2064.1;2064.1;1
12111;2;4;Med 1;4;4;195;97.5;1
12117;1;1;Low;1;1;120;120;0
12118;1;7;Med 2;4;10;2178.1;2178.1;1
12120;1;2;Low;1;2;2084.1;2084.1;1
12121;1;4;Med 1;1;6;2119.4;2119.4;1
12126;1;3;Low;10;5;27.8;27.8;1
12134;1;3;Low;10;6;34.5;34.5;0
12135;1;1;Low;4;1;35;35;1
12136;1;4;Med 1;6;7;98.5;98.5;0
12138;2;5;Med 1;1;9;118;59;1
12139;1;1;Low;1;2;8;8;0
12140;2;5;Med 1;6;10;61.6;30.8;0
12147;1;3;Low;6;4;48.6;48.6;0
12150;2;2;Low;4;3;43;21.5;1
12154;1;2;Low;6;2;2417.7;2417.7;1
12158;1;3;Low;6;5;73.6;73.6;0
12165;1;3;Low;6;7;37.3;37.3;1
12166;2;5;Med 1;6;9;87.3;43.6;0
12168;1;3;Low;1;5;64.9;64.9;1
12177;1;4;Med 1;6;7;2406.7;2406.7;1
12179;1;3;Low;1;5;2086.4;2086.4;1
12180;1;3;Low;1;4;2104.7;2104.7;1
12182;2;2;Low;6;5;35;17.5;0
12183;1;3;Low;6;4;103.5;103.5;1
12191;1;1;Low;4;1;120;120;1
12193;1;2;Low;6;2;2438.1;2438.1;1
12195;1;4;Med 1;4;6;115.5;115.5;1
12196;1;3;Low;6;4;68.6;68.6;1
12198;1;6;Med 1;1;13;2144.6;2144.6;1
12201;1;1;Low;4;2;8;8;1
12203;2;5;Med 1;6;10;59;29.5;0
12211;1;2;Low;7;2;2084.1;2084.1;1
12212;1;1;Low;7;1;2071.4;2071.4;1
12217;1;1;Low;7;1;2049.1;2049.1;1
12219;1;4;Med 1;7;6;2140.4;2140.4;1
12220;1;3;Low;7;3;2126.1;2126.1;1
12221;1;3;Low;7;3;2141.4;2141.4;1
12223;1;1;Low;8;1;35;35;1
12235;1;3;Low;10;6;27.8;27.8;1
12236;1;1;Low;8;1;35;35;1
12238;1;1;Low;8;1;35;35;1
12248;1;1;Low;9;1;540;540;1
12250;1;1;Low;9;1;565;565;1
12251;1;2;Low;9;3;550;550;1
12252;1;4;Med 1;9;7;563.6;563.6;1
12253;1;5;Med 1;9;7;665;665;1
12254;1;4;Med 1;7;5;2140.8;2140.8;1
12255;1;2;Low;7;3;2059.1;2059.1;1
12256;1;2;Low;7;2;2126.4;2126.4;1
12260;1;2;Low;10;3;56.7;56.7;1
12261;1;4;Med 1;7;5;2145.1;2145.1;1
12265;1;4;Med 1;7;6;2135.7;2135.7;1
12267;1;1;Low;7;1;2049.1;2049.1;1
12270;1;3;Low;8;5;2156.9;2156.9;1
12273;1;1;Low;8;1;48.1;48.1;1
12275;1;4;Med 1;8;5;2118.1;2118.1;1
12276;1;4;Med 1;8;6;2097.7;2097.7;1
12279;1;3;Low;7;4;2147.4;2147.4;1
12280;1;4;Med 1;7;6;2097.7;2097.7;1
12285;1;3;Low;7;3;2141.4;2141.4;1
12290;1;1;Low;7;1;2049.1;2049.1;1
12294;1;1;Low;10;2;21.5;21.5;1
12295;2;3;Low;7;4;85.7;42.9;1
12303;1;2;Low;10;3;62.6;62.6;0
12304;1;3;Low;10;5;59.1;59.1;0
12311;1;5;Med 1;10;11;71.5;71.5;0
12320;1;1;Low;10;1;33.6;33.6;0
12325;1;4;Med 1;10;6;97.6;97.6;0
12327;1;1;Low;8;2;5;5;1
12329;1;1;Low;10;1;48.1;48.1;1
12337;1;2;Low;9;3;2392.7;2392.7;1
12338;1;4;Med 1;9;6;2453;2453;1
12339;1;2;Low;9;2;2417.7;2417.7;1
12340;1;1;Low;9;1;2384.1;2384.1;1
12341;1;5;Med 1;9;8;2495.6;2495.6;1
12342;1;2;Low;9;2;2419.1;2419.1;1
12343;1;1;Low;9;1;2049.1;2049.1;1
12344;1;1;Low;9;2;23.5;23.5;1
12346;1;2;Low;9;2;2438.1;2438.1;1
12347;1;2;Low;9;2;2419.1;2419.1;1
12348;1;4;Med 1;9;7;2431.7;2431.7;1
12349;1;2;Low;9;3;2392.7;2392.7;1
12350;1;4;Med 1;9;8;2400.3;2400.3;1
12352;1;3;Low;9;4;61.2;61.2;0
12353;1;1;Low;9;1;2384.1;2384.1;1
12354;1;2;Low;9;2;2438.1;2438.1;1
12355;1;3;Low;9;4;2418.1;2418.1;1
12356;1;2;Low;9;2;2419.1;2419.1;1
12358;1;2;Low;9;2;2419.1;2419.1;1
12359;2;5;Med 1;9;8;71.3;35.6;0
12361;1;2;Low;9;3;163;163;0
12363;1;1;Low;6;1;30;30;0
12369;1;1;Low;9;2;2.3;2.3;0
12371;1;2;Low;9;4;122.3;122.3;0
12372;1;1;Low;9;2;2.3;2.3;1
12373;1;4;Med 1;7;7;2109.9;2109.9;1
12378;1;1;Low;8;1;2049.1;2049.1;1
12383;1;1;Low;7;1;2071.4;2071.4;1
12386;1;4;Med 1;8;6;2127.8;2127.8;1
12387;1;1;Low;7;1;35;35;1
12388;1;2;Low;8;2;2082.7;2082.7;1
12393;1;2;Low;7;2;71.6;71.6;1
12395;1;3;Low;7;3;2141.4;2141.4;1
12398;1;4;Med 1;7;6;599.1;599.1;1
12399;1;4;Med 1;8;8;57.3;57.3;1
12400;1;3;Low;8;4;69;69;1
12401;1;2;Low;8;2;36.6;36.6;1
12411;1;2;Low;4;3;40;40;0
12413;1;3;Low;1;5;42.3;42.3;1
12414;1;2;Low;1;2;37.3;37.3;1
12424;1;4;Med 1;1;6;97.2;97.2;1
12435;1;2;Low;4;3;2093.4;2093.4;1
12437;1;4;Med 1;1;6;2156;2156;1
12440;1;3;Low;4;4;2089.1;2089.1;1
12441;1;2;Low;4;3;2051.4;2051.4;1
12442;1;2;Low;4;3;2073.7;2073.7;1
12444;1;4;Med 1;6;6;111.6;111.6;1
12445;1;1;Low;1;2;22;22;1
12446;1;3;Low;4;5;2116.9;2116.9;1
12448;1;4;Med 1;1;5;2091.4;2091.4;1
12450;1;3;Low;4;4;2128.4;2128.4;1
12452;1;3;Low;1;4;2108.7;2108.7;1
12458;1;1;Low;8;1;48.1;48.1;1
12464;1;1;Low;7;1;2071.4;2071.4;1
12465;1;1;Low;10;1;48.1;48.1;1
12468;1;2;Low;7;3;2051.4;2051.4;1
12469;1;1;Low;8;1;48.1;48.1;1
12472;1;1;Low;7;1;48.1;48.1;1
12473;1;4;Med 1;10;6;1263.8;1263.8;1
12474;1;2;Low;7;2;2104.1;2104.1;1
12475;1;3;Low;8;4;2119.1;2119.1;1
12479;1;2;Low;8;2;2084.1;2084.1;1
12480;1;2;Low;7;2;2082.7;2082.7;1
12483;1;1;Low;7;1;2071.4;2071.4;1
12484;1;5;Med 1;8;8;2143.4;2143.4;1
12485;1;5;Med 1;7;7;2099.3;2099.3;1
12486;1;3;Low;10;4;1292.4;1292.4;1
12487;1;2;Low;8;2;2082.7;2082.7;1
12488;1;1;Low;7;2;8.6;8.6;1
12490;1;3;Low;7;5;70;70;1
12491;1;3;Low;10;3;84.7;84.7;1
12492;1;2;Low;10;2;776;776;1
12495;1;4;Med 1;8;6;2097.7;2097.7;1
12496;1;4;Med 1;10;5;204.2;204.2;1
12497;1;3;Low;8;6;42.3;42.3;1
12499;1;2;Low;8;2;2082.7;2082.7;1
12500;1;5;Med 1;8;7;2153.7;2153.7;1
12501;1;4;Med 1;8;7;2099.1;2099.1;1
12502;1;1;Low;10;1;48.1;48.1;1
12503;1;2;Low;10;2;56.7;56.7;1
